2021.10.25 17:41:16 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=8ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=7ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=9ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=10ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=5ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index': success | time=14ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table'...
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table': success | time=18ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table'...
2021.10.25 17:41:16 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table': success | time=156ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table'...
2021.10.25 17:41:16 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table': success | time=70ms
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table'...
2021.10.25 17:41:16 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2021.10.25 17:41:16 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table': success | time=58ms
